kind,address,name,type,notes
func,0000:0000,screen_reveal,int (int mode),page DS:8CA2 to screen; mode 3 = 4-step dissolve; 0/1 interruptible
func,0000:0090,message_box,"int (char *msg, int timed)",box at rows 80..119; returns 0x1B or 0
func,0000:01b0,question_box,"int (int, char *msg)",install y/n box; returns raw key
func,0000:0297,ensure_disk,"int (char *name, int diskType, int mode)",disk prompt + diskid check; sets DS:8644 path; dropped by port
func,0000:0477,check_diskid,"int (int diskType, int stamp)",diskid.dat type/serial check; dropped
func,0000:05c0,read_diskid,int (int drive),disk type in drive or -1; dropped
func,0000:0651,cars_select_by_name,void (void),player/opponent car index from codes
func,0000:0730,scenery_select_by_name,void (void),scenery index from code
func,0000:07b3,main,"void (int argc, char **argv)",startup; intro/menu loop; exit prompt
func,00c0:0004,title_screen,int (void),line-art morph then TESTDRV2 tdri/duel
func,00c0:027a,accolade_screen,int (void),ACCOLADE acc_/pres/copy + bull slide
func,00c0:039c,intro_sequence,int (void),intro screens; 0 = timeout; 0x1B = Esc
func,010c:000e,dsi_logo_screen,int (void),logo morph to DSI lines + DSITITLE
func,010c:0285,credits,int (void),credits text 5 s
func,0143:000a,showroom_intro,int (int),two showroom cars in the intro
func,0143:019e,showroom_tick,void (void),timer routine: showroom car speed/distance/window frame
func,0143:01e1,showroom_drive,"int (char *path, int x, int y, int anim, int reveal)",.SS window animation and drive-off
func,019e:0004,menu_random_key,int (void),attract-mode random key
func,019e:009b,car_slide,"far (int car, int from, int to, far old)",vertical slide of the car image (88 rows)
func,019e:027d,car_select,int (int car),car selection screen
func,019e:0527,scenery_select,void (void),scenery selection screen
func,019e:06c5,main_menu,int (void),GAMEOPT menu and dispatch; 1 = exit program
func,0267:0004,plural_s,char *(int n),'s' unless n == 1
func,0267:0017,results_line,"void (char *s, int x)","draw at (x, DS:83D2) and advance 8"
func,0267:0039,stage_results,int (int kind),"kind 0 normal / 1 last stage / 99 game over; gas station, scoring, records, duel/section pages, police ending"
func,0267:118b,results_overall,void (void),Overall Performance lines
func,0267:1224,results_section_page,void (void),section header + player stage lines
func,0267:139b,difficulty_screen,int (void),GAMEDIFF 12-step scale
func,0267:15e4,run_game,int (int mode),stage loop around 06c9:1b2c
func,0432:0006,name_to_field,"void (char *dst, char *src)",trim + spaces to underscores
func,0432:0061,field_to_name,void (char *s),underscores to spaces; pad to 18
func,0432:00a9,cars_load,"int (int diskType, int flag)",append cars.dat records
